814;1
815;1
816;1
817;1
818;1
819;1
820;1
821;1
822;1
823;1
824;1
825;1
826;1
827;1
828;0
829;1
830;1
831;1
832;0
833;1
834;1
835;1
836;0
837;1
838;1
839;0
840;0
841;1
842;1
843;1
844;1
845;1
846;1
847;1
848;1
849;1
850;0
851;1
852;1
853;1
854;1
855;1
856;0
857;0
858;1
859;1
860;0
861;1
862;1
863;1
864;1
865;1
866;1
867;0
868;1
869;1
870;0
871;1
872;1
873;1
874;1
875;1
876;1
877;1
878;1
879;1
880;0
881;1
882;1
883;1
884;1
885;1
886;1
887;0
888;1
889;0
890;0
891;1
892;1
893;1
894;1
895;1
896;1
897;0
898;1
899;1
900;1
901;1
902;0
903;1
904;1
905;1
906;0
907;0
908;1
909;1
910;1
911;0
912;0
913;1
914;1
915;1
916;1
917;1
918;1
919;0
920;1
921;1
922;0
923;1
924;1
925;1
926;1
927;1
928;1
929;1
930;0
931;1
932;1
933;1
934;0
935;1
936;1
937;1
938;0
939;1
940;1
941;1
942;1
943;1
944;1
945;1
946;1
947;1
948;0
949;1
950;1
951;1
952;1
953;1
954;1
955;1
956;1
957;1
958;0
959;1
960;1
961;1
962;1
963;1
964;1
965;1
966;1
967;1
968;1
969;1
970;1
971;1
972;0
973;1
974;0
975;1
976;1
977;1
978;1
979;0
980;1
981;1
982;1
983;1
984;1
985;0
986;1
987;1
988;1
989;1
990;1
991;0
992;1
993;1
994;1
995;0
996;1
997;1
998;1
999;1
1000;0
1001;0
1002;1
1003;1
1004;0
1005;1
1006;1
1007;1
1008;1
1009;1
1010;1
1011;1
1012;1
1013;1
1014;1
1015;1
1016;0
1017;1
1018;1
1019;1
1020;1
1021;1
1022;1
1023;1
1024;1
1025;0
1026;0
1027;0
1028;1
1029;1
1030;1
1031;0
1032;1
1033;1
1034;1
1035;1
1036;1
1037;1
1038;1
1039;1
1040;1
1041;1
1042;1
